group,start_s,end_s,samples,duration_s
2,4.800000000000001,4.800000000000001,1,0.1
4,5.6000000000000005,5.6000000000000005,1,0.1
6,6.800000000000001,6.800000000000001,1,0.1
8,7.800000000000001,7.800000000000001,1,0.1
10,8.3,8.3,1,0.1
12,8.6,8.6,1,0.1
14,8.9,8.9,1,0.1
16,9.1,9.1,1,0.1
18,9.6,9.6,1,0.1
20,10.3,10.3,1,0.1
22,12.2,12.2,1,0.1
24,13.2,13.2,1,0.1
26,18.9,19.0,2,0.20000000000000143
28,20.3,20.3,1,0.1
30,20.6,20.9,4,0.39999999999999714
32,21.200000000000003,21.200000000000003,1,0.1
34,21.5,21.6,2,0.20000000000000143
36,21.8,21.9,2,0.19999999999999787
38,22.1,32.1,101,10.1
40,32.300000000000004,32.6,4,0.39999999999999714
42,32.800000000000004,33.0,3,0.2999999999999957
44,33.4,33.4,1,0.1
46,45.3,45.3,1,0.1
48,46.1,46.1,1,0.1
50,47.3,47.400000000000006,2,0.20000000000000853
52,48.0,48.0,1,0.1
54,48.6,48.6,1,0.1
56,58.0,60.900000000000006,30,3.0000000000000058
58,88.0,90.3,24,2.3999999999999972
60,90.5,90.7,3,0.3000000000000028
62,91.0,91.5,6,0.6
64,91.7,91.7,1,0.1
66,93.7,93.7,1,0.1
68,94.3,94.4,2,0.20000000000000853
70,94.6,94.6,1,0.1
72,94.9,94.9,1,0.1
74,95.4,95.4,1,0.1
76,97.2,97.3,2,0.19999999999999432
78,98.2,98.2,1,0.1
80,98.5,98.5,1,0.1
82,100.5,100.5,1,0.1
84,104.1,104.1,1,0.1
86,105.0,105.0,1,0.1
88,105.3,105.4,2,0.20000000000000853
90,105.6,105.6,1,0.1
92,106.1,106.1,1,0.1
94,106.4,123.9,176,17.6
96,124.2,124.4,3,0.3000000000000028
98,124.7,124.8,2,0.19999999999999432
100,150.0,153.9,40,4.000000000000005
102,178.60000000000002,178.60000000000002,1,0.1
104,178.8,179.9,12,1.1999999999999944
