time_s,target,measurement,control,applied_control,error,integral,derivative
0.0,3.0,0.03636363636363636,1.0,1.0,3.0,0.0,150.0
0.02,3.0,0.07140495867768595,1.0,1.0,2.963636363636364,0.0,-1.8181818181818077
0.04,3.0,0.10517205108940647,1.0,1.0,2.928595041322314,0.0,-1.7520661157024886
0.06,3.0,0.13771124923160988,1.0,1.0,2.8948279489105935,0.0,-1.68835462058603
0.08,3.0,0.1690672038050059,1.0,1.0,2.86228875076839,0.0,-1.6269599071101704
0.1,3.0,0.19928294184846024,1.0,1.0,2.830932796194994,0.0,-1.5677977286697953
0.12,3.0,0.2283999257812435,1.0,1.0,2.8007170581515397,0.0,-1.5107869021727227
0.14,3.0,0.2564581102982892,1.0,1.0,2.7716000742187563,0.0,-1.4558491966391696
0.16,3.0,0.28349599719653323,1.0,1.0,2.743541889701711,0.0,-1.4029092258522669
0.18,3.0,0.30955068820756837,1.0,1.0,2.716504002803467,0.0,-1.3518943449122078
0.2,3.0,0.33465793590911136,1.0,1.0,2.6904493117924315,0.0,-1.3027345505517651
0.22,3.0,0.3588521927851437,1.0,1.0,2.6653420640908885,0.0,-1.2553623850771523
0.24,3.0,0.38216665850204756,1.0,1.0,2.6411478072148564,0.0,-1.2097128438016025
0.26,3.0,0.4046333254656095,1.0,1.0,2.6178333414979527,0.0,-1.1657232858451883
0.28,3.0,0.4262830227214055,1.0,1.0,2.5953666745343904,0.0,-1.1233333481781127
0.3,3.0,0.4471454582588089,1.0,1.0,2.5737169772785946,0.0,-1.0824848627897898
0.32,3.0,0.4672492597766704,1.0,1.0,2.552854541741191,0.0,-1.0431217768701817
0.34,3.0,0.4866220139666097,1.0,1.0,2.53275074022333,0.0,-1.0051900758930588
0.36,3.0,0.5052903043678239,1.0,1.0,2.5133779860333902,0.0,-0.9686377094969778
0.38,3.0,0.5232797478453576,1.0,1.0,2.494709695632176,0.0,-0.9334145200607047
0.4,3.0,0.54061502974189,1.0,1.0,2.4767202521546423,0.0,-0.899472173876692
0.42,3.0,0.5573199377512759,1.0,1.0,2.45938497025811,0.0,-0.866764094826622
0.44,3.0,0.5734173945603204,1.0,1.0,2.442680062248724,0.0,-0.8352454004692866
0.46,3.0,0.5889294893035815,1.0,1.0,2.4265826054396795,0.0,-0.804872840452231
0.48,3.0,0.6038775078743603,1.0,1.0,2.4110705106964185,0.0,-0.7756047371630492
0.5,3.0,0.6182819621334745,1.0,1.0,2.39612249212564,0.0,-0.7474009285389327
0.52,3.0,0.6321626180558937,1.0,1.0,2.3817180378665253,0.0,-0.7202227129557315
0.54,3.0,0.6455385228538612,1.0,1.0,2.3678373819441063,0.0,-0.6940327961209469
0.56,3.0,0.6584280311137207,1.0,1.0,2.3544614771461387,0.0,-0.6687952398983787
0.58,3.0,0.6708488299823127,1.0,1.0,2.3415719688862793,0.0,-0.6444754129929731
0.6,3.0,0.6828179634375013,1.0,1.0,2.3291511700176875,0.0,-0.621039943429591
0.62,3.0,0.6943518556761377,1.0,1.0,2.3171820365624987,0.0,-0.5984566727594398
0.64,3.0,0.7054663336515509,1.0,1.0,2.3056481443238623,0.0,-0.5766946119318161
0.66,3.0,0.7161766487914945,1.0,1.0,2.2945336663484492,0.0,-0.5557238987706548
0.68,3.0,0.7264974979263492,1.0,1.0,2.2838233512085058,0.0,-0.5355157569971736
0.7000000000000001,3.0,0.7364430434563002,1.0,1.0,2.273502502073651,0.0,-0.5160424567427491
0.72,3.0,0.746026932785162,1.0,1.0,2.2635569565436997,0.0,-0.49727727649755415
0.74,3.0,0.7552623170475197,1.0,1.0,2.253973067214838,0.0,-0.47919446644308916
0.76,3.0,0.7641618691548826,1.0,1.0,2.24473768295248,0.0,-0.46176921311789076
0.78,3.0,0.7727378011856142,1.0,1.0,2.235838130845117,0.0,-0.44497760536814646
0.8,3.0,0.7810018811425009,1.0,1.0,2.227262198814386,0.0,-0.42879660153656296
0.8200000000000001,3.0,0.7889654491009555,1.0,1.0,2.218998118857499,0.0,-0.4132039978443469
0.84,3.0,0.7966394327700116,1.0,1.0,2.2110345508990443,0.0,-0.3981783979227327
0.86,3.0,0.8040343624874657,1.0,1.0,2.2033605672299883,0.0,-0.3836991834528014
0.88,3.0,0.8111603856697397,1.0,1.0,2.1959656375125345,0.0,-0.36974648587269066
0.9,3.0,0.8180272807362946,1.0,1.0,2.18883961433026,0.0,-0.3563011591137144
0.92,3.0,0.8246444705277021,1.0,1.0,2.1819727192637055,0.0,-0.3433447533277345
0.9400000000000001,3.0,0.8310210352357856,1.0,1.0,2.1753555294722977,0.0,-0.3308594895703898
0.96,3.0,0.8371657248635752,1.0,1.0,2.1689789647642144,0.0,-0.31882823540416716
0.98,3.0,0.8430869712321725,1.0,1.0,2.162834275136425,0.0,-0.3072344813894734
1.0,3.0,0.8487928995510026,1.0,1.0,2.1569130287678275,0.0,-0.2960623184298683
1.02,3.0,0.8542913395673297,1.0,1.0,2.1512071004489974,0.0,-0.285296415941505
1.04,3.0,0.8595898363103359,1.0,1.0,2.1457086604326703,0.0,-0.27492200081635776
1.06,3.0,0.8646956604445055,1.0,1.0,2.140410163689664,0.0,-0.26492483715030435
1.08,3.0,0.8696158182465235,1.0,1.0,2.1353043395554945,0.0,-0.2552912067084856
1.1,3.0,0.8743570612193772,1.0,1.0,2.1303841817534765,0.0,-0.24600789010089663
1.12,3.0,0.8789258953568544,1.0,1.0,2.125642938780623,0.0,-0.23706214864267494
1.1400000000000001,3.0,0.8833285900711506,1.0,1.0,2.121074104643146,0.0,-0.2284417068738609
1.16,3.0,0.887571186795836,1.0,1.0,2.1166714099288493,0.0,-0.22013473571482756
1.18,3.0,0.8916595072759874,1.0,1.0,2.112428813204164,0.0,-0.21212983623426496
1.2,3.0,0.8955991615568606,1.0,1.0,2.108340492724013,0.0,-0.20441602400755876
1.22,3.0,0.8993955556820656,1.0,1.0,2.1044008384431394,0.0,-0.19698271404366974
1.24,3.0,0.9030538991118087,1.0,1.0,2.100604444317934,0.0,-0.18981970626026357
1.26,3.0,0.9065792118713792,1.0,1.0,2.096946100888191,0.0,-0.18291717148715136
1.28,3.0,0.9099763314396927,1.0,1.0,2.0934207881286206,0.0,-0.17626563797852324
1.3,3.0,0.9132499193873402,1.0,1.0,2.090023668560307,0.0,-0.16985597841567834
1.32,3.0,0.9164044677732551,1.0,1.0,2.08675008061266,0.0,-0.1636793973823547
1.34,3.0,0.9194443053087731,1.0,1.0,2.0835955322267448,0.0,-0.15772741929576117
1.36,3.0,0.9223736032975449,1.0,1.0,2.0805556946912267,0.0,-0.1519918767759032
1.3800000000000001,3.0,0.9251963813594524,1.0,1.0,2.0776263967024553,0.0,-0.14646489943856977
1.4000000000000001,3.0,0.9279165129463813,1.0,1.0,2.074803618640548,0.0,-0.14113890309537247
1.42,3.0,0.930537730657422,1.0,1.0,2.072083487053619,0.0,-0.13600657934644822
1.44,3.0,0.9330636313607884,1.0,1.0,2.069462269342578,0.0,-0.13106088555203677
1.46,3.0,0.9354976811294871,1.0,1.0,2.0669363686392117,0.0,-0.1262950351683223
1.48,3.0,0.9378432199975058,1.0,1.0,2.064502318870513,0.0,-0.12170248843492715
1.5,3.0,0.940103466543051,1.0,1.0,2.0621567800024945,0.0,-0.11727694340093464
1.52,3.0,0.9422815223051219,1.0,1.0,2.059896533456949,0.0,-0.11301232727727317
1.54,3.0,0.9443803760394811,1.0,1.0,2.0577184776948783,0.0,-0.1089027881035376
1.56,3.0,0.9464029078198636,1.0,1.0,2.055619623960519,0.0,-0.10494268671796814
1.58,3.0,0.9483518929900504,1.0,1.0,2.0535970921801363,0.0,-0.1011265890191293
1.6,3.0,0.9502300059722304,1.0,1.0,2.0516481070099495,0.0,-0.09744925850934116
1.62,3.0,0.9520398239368766,1.0,1.0,2.04976999402777,0.0,-0.09390564910898291
1.6400000000000001,3.0,0.953783830339172,1.0,1.0,2.0479601760631234,0.0,-0.09049089823232048
1.6600000000000001,3.0,0.9554644183268385,1.0,1.0,2.046216169660828,0.0,-0.08720032011477752
1.68,3.0,0.9570838940240444,1.0,1.0,2.0445355816731614,0.0,-0.08402939938332299
1.7,3.0,0.9586444796958973,1.0,1.0,2.0429161059759555,0.0,-0.08097378486029427
1.72,3.0,0.9601483167978646,1.0,1.0,2.0413555203041027,0.0,-0.07802928359263994
1.74,3.0,0.9615974689143059,1.0,1.0,2.0398516832021354,0.0,-0.07519185509836657
1.76,3.0,0.9629939245901493,1.0,1.0,2.038402531085694,0.0,-0.07245760582206273
1.78,3.0,0.9643396000595984,1.0,1.0,2.0370060754098507,0.0,-0.06982278379217277
1.8,3.0,0.965636341875613,1.0,1.0,2.0356603999404017,0.0,-0.06728377347244852
1.82,3.0,0.9668859294437725,1.0,1.0,2.034363658124387,0.0,-0.06483709080074007
1.84,3.0,0.968090077463999,1.0,1.0,2.0331140705562274,0.0,-0.062479378407975794
