time_s,target,measurement,control,applied_control,error,integral,derivative
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.7,0.07272727272727272,2.0,2.0,0.7,0.0,35.0
2.02,0.7,0.09139371900826446,0.5860545454545453,0.5860545454545453,0.6272727272727272,0.012545454545454544,-3.6363636363636376
2.04,0.7,0.11850229272426747,0.8368794961983473,0.8368794961983473,0.6086062809917355,0.024717580165289254,-0.9333223140495839
2.06,0.7,0.14190755358342672,0.7621469663511462,0.7621469663511462,0.5814977072757325,0.036347534310803904,-1.355428685800153
2.08,0.7,0.1641425128566279,0.7533689335964588,0.7533689335964588,0.5580924464165733,0.04750938323913537,-1.1702630429579586
2.1,0.7,0.18484169447771248,0.7333700074364542,0.7333700074364542,0.5358574871433721,0.05822653298200281,-1.1117479636600591
2.12,0.7,0.20420062702553102,0.717212339542722,0.717212339542722,0.5151583055222875,0.06852969909244856,-1.034959081054232
2.14,0.7,0.222295745217656,0.7018163773089675,0.7018163773089675,0.49579937297446897,0.07844568655193794,-0.9679466273909254
2.16,0.7,0.23921883198669397,0.6876806313662003,0.6876806313662003,0.47770425478234396,0.08799977164758482,-0.9047559096062502
2.18,0.7,0.2550511324482784,0.6746070946802647,0.6746070946802647,0.460781168013306,0.09721539500785094,-0.8461543384518988
2.2,0.7,0.2698689770745548,0.6625418596708801,0.6625418596708801,0.4449488675517216,0.10611437235888536,-0.7916150230792202
2.22,0.7,0.28374316722562415,0.6514092062289615,0.6514092062289615,0.43013102292544514,0.11471699281739427,-0.7408922313138222
2.24,0.7,0.29673955347331904,0.6411437890372342,0.6411437890372342,0.4162568327743758,0.12304212947288179,-0.6937095075534666
2.2600000000000002,0.7,0.30891934699915974,0.6316838754339378,0.6316838754339378,0.4032604465266809,0.1311073384034154,-0.6498193123847446
2.2800000000000002,0.7,0.32033945357724336,0.6229722778964595,0.6229722778964595,0.3910806530008402,0.1389289514634322,-0.6089896762920349
2.3000000000000003,0.7,0.331052775280545,0.6149558004180378,0.6149558004180378,0.3796605464227566,0.14652216239188734,-0.5710053289041811
2.32,0.7,0.3411084926660913,0.6075850033830678,0.6075850033830678,0.36894722471945496,0.15390110688627645,-0.5356660851650819
2.34,0.7,0.3505523267508225,0.6008139299961999,0.6008139299961999,0.3588915073339087,0.16107893703295462,-0.5027858692773141
2.36,0.7,0.35942678260710775,0.5945998627986668,0.5945998627986668,0.34944767324917747,0.16806789049793816,-0.4721917042365603
2.38,0.7,0.36777137579230273,0.5889030951999692,0.5889030951999692,0.3405732173928922,0.174879354845796,-0.4437227928142634
2.4,0.7,0.3756228428368203,0.5836867195165358,0.5836867195165358,0.3322286242076972,0.18152392732994996,-0.4172296592597491
2.42,0.7,0.3830153369101516,0.5789164298534312,0.5789164298534312,0.32437715716317966,0.18801147047321354,-0.39257335222587786
2.44,0.7,0.3899806097091506,0.5745603388826234,0.5745603388826234,0.31698466308984835,0.19435116373501052,-0.36962470366656563
2.46,0.7,0.3965481805386309,0.5705888075198582,0.5705888075198582,0.31001939029084935,0.20055155154082752,-0.34826363994995
2.48,0.7,0.40274549348616034,0.5669742865956906,0.5669742865956906,0.30345181946136907,0.2066205879300549,-0.32837854147401424
2.5,0.7,0.4085980635294034,0.5636911696753443,0.5636911696753443,0.2972545065138396,0.2125656780603317,-0.3098656473764727
2.52,0.7,0.4141296123553342,0.5607156562425,0.5607156562425,0.29140193647059653,0.21839371678974362,-0.29262850216215386
2.54,0.7,0.41936219461576535,0.5580256245171907,0.5580256245171907,0.28587038764466577,0.22411112454263693,-0.2765774412965383
2.56,0.7,0.4243163152926256,0.5556005132294213,0.5556005132294213,0.2806378053842346,0.22972388065032162,-0.2616291130215581
2.58,0.7,0.42901103879899877,0.5534212117178887,0.5534212117178887,0.27568368470737437,0.2352375543444691,-0.24770603384301204
2.6,0.7,0.4334640903978562,0.5514699577675781,0.5514699577675781,0.2709889612010012,0.24065733356848912,-0.23473617531865887
2.62,0.7,0.437691950479436,0.5497302426413007,0.5497302426413007,0.26653590960214374,0.24598805176053198,-0.22265257994287246
2.64,0.7,0.44170994220013315,0.5481867227986075,0.5481867227986075,0.26230804952056397,0.25123421275094326,-0.21139300407898853
2.66,0.7,0.4455323129503528,0.5468251378311728,0.5468251378311728,0.2582900577998668,0.2564000139069406,-0.20089958603485836
2.68,0.7,0.44917231008586456,0.5456322341769261,0.5456322341769261,0.2544676870496472,0.26148936764793357,-0.1911185375109814
2.7,0.7,0.4526422513265966,0.5445956942059956,0.5445956942059956,0.2508276899141354,0.26650592144621627,-0.18199985677558872
2.72,0.7,0.45595359019836484,0.543704070300224,0.543704070300224,0.24735774867340338,0.27145307641968436,-0.1734970620366011
2.74,0.7,0.4591169768665921,0.5429467235746133,0.5429467235746133,0.2440464098016351,0.27633400461571705,-0.16556694358841328
2.7600000000000002,0.7,0.4621423146864922,0.5423137669138453,0.5423137669138453,0.24088302313340787,0.28115166507838524,-0.15816933341136208
2.7800000000000002,0.7,0.46503881277134773,0.5417960120200199,0.5417960120200199,0.23785768531350776,0.2859088187846554,-0.15126689099500545
2.8000000000000003,0.7,0.4678150348592682,0.5413849201891605,0.5413849201891605,0.23496118722865222,0.29060804252922845,-0.14482490424277683
2.82,0.7,0.4704789447390739,0.5410725565539256,0.5410725565539256,0.23218496514073178,0.29525174183204306,-0.13881110439602218
2.84,0.7,0.47303794847759645,0.5408515475484434,0.5408515475484434,0.22952105526092603,0.29984216293726157,-0.1331954939902874
2.86,0.7,0.4754989336736253,0.5407150413683892,0.5407150413683892,0.2269620515224035,0.30438140396770963,-0.12795018692612625
2.88,0.7,0.47786830594787105,0.5406566712153837,0.5406566712153837,0.22450106632637468,0.3088714252942371,-0.12304925980144155
2.9,0.7,0.4801520228635725,0.5406705211296603,0.5406705211296603,0.2221316940521289,0.3133140591752797,-0.11846861371228867
2.92,0.7,0.4823556254586695,0.5407510942287397,0.5407510942287397,0.21984797713642745,0.3177110187180083,-0.11418584578507252
2.94,0.7,0.484484267557725,0.5408932831826951,0.5408932831826951,0.21764437454133045,0.3220639062088349,-0.11018012975484992
2.96,0.7,0.4865427430199354,0.5410923427685111,0.5410923427685111,0.21551573244227495,0.3263742208576804,-0.106432104952775
2.98,0.7,0.4885355110685611,0.5413438643571421,0.5413438643571421,0.21345725698006457,0.3306433659972817,-0.10292377311051926
3.0,0.7,0.490466719836874,0.5416437521971672,0.5416437521971672,0.21146448893143888,0.3348726557759105,-0.09963840243128463
3.02,0.7,0.4923402282562075,0.5419882013685453,0.5419882013685453,0.20953328016312595,0.33906332137917305,-0.09656043841564654
3.04,0.7,0.4941596264028492,0.5423736772888554,0.5423736772888554,0.20765977174379247,0.3432165168140489,-0.09367542096667403
3.06,0.7,0.49592825441229876,0.5427968966627119,0.5427968966627119,0.20584037359715074,0.34733332428599195,-0.09096990733208632
3.08,0.7,0.49764922006176887,0.5432548097727261,0.5432548097727261,0.2040717455877012,0.35141475919774595,-0.08843140047247733
3.1,0.7,0.4993254151147065,0.5437445840175534,0.5437445840175534,0.20235077993823108,0.3554617747965106,-0.08604828247350538
3.12,0.7,0.5009595305145064,0.5442635886092035,0.5442635886092035,0.20067458488529344,0.35947526649421646,-0.08380975264688229
3.14,0.7,0.5025540705084512,0.5448093803479895,0.5448093803479895,0.1990404694854936,0.3634560758839263,-0.08170576998999257
3.16,0.7,0.5041113657772068,0.5453796903992288,0.5453796903992288,0.1974459294915487,0.3674049944737573,-0.07972699969724384
3.18,0.7,0.505633585639896,0.545972412001161,0.545972412001161,0.19588863422279312,0.37132276715821316,-0.07786476343777937
