time_s,target,measurement,control,applied_control,error,integral,derivative
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.8,0.07272727272727272,2.0,2.0,0.8,0.0,40.0
2.02,0.8,0.09692561983471074,0.738181818181818,0.738181818181818,0.7272727272727273,0.014545454545454545,-3.6363636363636376
2.04,0.8,0.12813105334335087,0.9550750413223145,0.9550750413223145,0.7030743801652893,0.028606942148760334,-1.2099173553718978
2.06,0.8,0.15559208752189058,0.8833094932531932,0.8833094932531932,0.6718689466566492,0.04204432108189332,-1.5602716754320067
2.08,0.8,0.1815889591510239,0.8705060573230572,0.8705060573230572,0.6444079124781095,0.05493247933145551,-1.3730517089269867
2.1,0.8,0.2058260052996821,0.8481077282391237,0.8481077282391237,0.6184110408489761,0.06730070014843503,-1.2998435814566667
2.12,0.8,0.22850374679202154,0.8294638963390171,0.8294638963390171,0.594173994700318,0.07918418004244139,-1.211852307432909
2.14,0.8,0.24971511058795606,0.8118162511802212,0.8118162511802212,0.5714962532079785,0.09061410510660096,-1.1338870746169738
2.16,0.8,0.269564938105104,0.7955853673095251,0.7955853673095251,0.550284889412044,0.10161980289484185,-1.0605681897967234
2.18,0.8,0.28814711611423327,0.7805748333561593,0.7805748333561593,0.5304350618948961,0.11222850413273977,-0.9924913758573961
2.2,0.8,0.3055496794242919,0.7667176071408449,0.7667176071408449,0.5118528838857668,0.1224655618104551,-0.9291089004564657
2.22,0.8,0.3218543670990357,0.753928590479746,0.753928590479746,0.49445032057570815,0.13235456822196928,-0.8701281655029314
2.24,0.8,0.33713723090044234,0.7421331216377189,0.7421331216377189,0.47814563290096435,0.14191748087998857,-0.81523438373719
2.2600000000000002,0.8,0.35146900020729127,0.7312608868387881,0.7312608868387881,0.4628627690995577,0.15117473626197972,-0.7641431900703322
2.2800000000000002,0.8,0.36491546093968774,0.7212466703481939,0.7212466703481939,0.4485309997927088,0.16014535625783388,-0.7165884653424465
2.3000000000000003,0.8,0.3775378001857997,0.7120297902077661,0.7120297902077661,0.4350845390603123,0.16884704703904013,-0.6723230366198235
2.32,0.8,0.3893929282433064,0.7035538217672339,0.7035538217672339,0.42246219981420036,0.17729629103532413,-0.6311169623055973
2.34,0.8,0.40053377782356253,0.6957662917003504,0.6957662917003504,0.41060707175669364,0.185508432470458,-0.5927564028753357
2.36,0.8,0.4110095823772099,0.6886184030488658,0.6886184030488658,0.3994662221764375,0.19349775691398677,-0.5570424790128065
2.38,0.8,0.42086613493133973,0.6820647776157802,0.6820647776157802,0.38899041762279013,0.20127756526644258,-0.5237902276823692
2.4,0.8,0.43014602881595293,0.6760632167582032,0.6760632167582032,0.3791338650686603,0.2088602425678158,-0.4928276277064908
2.42,0.8,0.4388888815443411,0.6705744788466272,0.6705744788466272,0.3698539711840471,0.21625732199149675,-0.46399469423066
2.44,0.8,0.4471315430268016,0.6655620723120051,0.6655620723120051,0.36111111845565896,0.22347954436060993,-0.43714263641940754
2.46,0.8,0.45490828921391974,0.6609920631725508,0.6609920631725508,0.35286845697319846,0.2305369135000739,-0.412133074123025
2.48,0.8,0.4622510021890636,0.6568328960303764,0.6568328960303764,0.3450917107860803,0.2374387477157955,-0.38883730935590777
2.5,0.8,0.46918933765835935,0.6530552275946958,0.6530552275946958,0.3377489978109364,0.24419372767201425,-0.3671356487571942
2.52,0.8,0.47575088072005967,0.6496317718551177,0.6496317718551177,0.3308106623416407,0.25080994091884706,-0.34691677346478655
2.54,0.8,0.4819612907335027,0.6465371560897434,0.6465371560897434,0.3242491192799404,0.25729492330444587,-0.3280771530850157
2.56,0.8,0.48784443605046124,0.6437477869498628,0.6437477869498628,0.31803870926649735,0.2636556974897758,-0.3105205006721512
2.58,0.8,0.4934225193183023,0.6412417259160904,0.6412417259160904,0.3121555639495388,0.2698988087687666,-0.29415726584792745
2.6,0.8,0.4987161940147328,0.6389985734701419,0.6389985734701419,0.30657748068169777,0.27603035838240053,-0.27890416339205193
2.62,0.8,0.5037446728277363,0.6369993613723275,0.6369993613723275,0.3012838059852672,0.28205603450210587,-0.2646837348215275
2.64,0.8,0.5085258284513655,0.6352264524775417,0.6352264524775417,0.29625532717226377,0.28798114104555117,-0.25142394065017226
2.66,0.8,0.513076287328123,0.6336634475621985,0.6336634475621985,0.29147417154863453,0.29381062447652384,-0.23905778118146204
2.68,0.8,0.5174115168315185,0.6322950986714988,0.6322950986714988,0.286923712671877,0.2995490987299614,-0.22752294383787675
2.7,0.8,0.521545906347854,0.6311072285307431,0.6311072285307431,0.2825884831684815,0.305200868393331,-0.2167614751697744
2.72,0.8,0.525492842684162,0.630086655596322,0.630086655596322,0.278454093652146,0.31076995026637394,-0.20671947581677452
2.74,0.8,0.5292647801993464,0.6292211243517355,0.6292211243517355,0.2745071573158381,0.3162600934126907,-0.1973468168153969
2.7600000000000002,0.8,0.5328733060277915,0.628499240481586,0.628499240481586,0.2707352198006536,0.3216747978087037,-0.18859687575922268
2.7800000000000002,0.8,0.5363292007388608,0.6279104105821984,0.6279104105821984,0.26712669397220856,0.3270173316881479,-0.1804262914222532
2.8000000000000003,0.8,0.53964249475168,0.6274447860913902,0.6274447860913902,0.26367079926113923,0.3322907476733707,-0.17279473555346647
2.82,0.8,0.5428225208022421,0.6270932111421368,0.6270932111421368,0.26035750524832,0.3374978977783371,-0.16566470064096062
2.84,0.8,0.5458779627390895,0.6268471740655455,0.6268471740655455,0.2571774791977579,0.34264144736229224,-0.15900130252810563
2.86,0.8,0.5488169009044958,0.6266987622877618,0.6266987622877618,0.25412203726091054,0.3477238881075104,-0.15277209684236848
2.88,0.8,0.5516468543400883,0.6266406203832905,0.6266406203832905,0.2511830990955043,0.3527475500894205,-0.14694690827031232
2.9,0.8,0.5543748200391349,0.6266659110638689,0.6266659110638689,0.24835314565991173,0.35771461300261875,-0.1414976717796279
2.92,0.8,0.5570073094521643,0.6267682788974421,0.6267682788974421,0.2456251799608652,0.36262711660183605,-0.1363982849523271
2.94,0.8,0.5595503824381293,0.6269418165662013,0.6269418165662013,0.2429926905478358,0.36748697041279277,-0.1316244706514702
2.96,0.8,0.5620096788398702,0.6271810334860037,0.6271810334860037,0.24044961756187078,0.3722959627640302,-0.12715364929825057
2.98,0.8,0.5643904478501264,0.6274808266219147,0.6274808266219147,0.23799032116012986,0.3770557691872328,-0.1229648200870459
3.0,0.8,0.5666975753227109,0.6278364533462022,0.6278364533462022,0.23560955214987367,0.3817679602302303,-0.11903845051280948
3.02,0.8,0.568935609172643,0.628243506195843,0.628243506195843,0.23330242467728912,0.3864340087237761,-0.11535637362922735
3.04,0.8,0.5711087829989693,0.6286978893966179,0.6286978893966179,0.23106439082735708,0.3910552965403232,-0.11190169249660209
3.06,0.8,0.5732210380546494,0.6291957970301725,0.6291957970301725,0.22889121700103077,0.39563312088034386,-0.10865869131631567
3.08,0.8,0.5752760436791735,0.6297336927290634,0.6297336927290634,0.22677896194535063,0.4001687001192509,-0.10561275278400672
3.1,0.8,0.5772772163014898,0.6303082907928699,0.6303082907928699,0.22472395632082653,0.4046631792456674,-0.10275028122620489
3.12,0.8,0.5792277371132869,0.6309165386259125,0.6309165386259125,0.22272278369851028,0.4091176349196376,-0.10005863111581248
3.14,0.8,0.5811305685056806,0.631555600404113,0.631555600404113,0.22077226288671314,0.41353308017737184,-0.09752604058985703
3.16,0.8,0.582988469355836,0.6322228418849545,0.6322228418849545,0.21886943149431948,0.41791046880725824,-0.09514156961968334
3.18,0.8,0.5848040092440083,0.6329158162805748,0.6329158162805748,0.217011530644164,0.42225069942014154,-0.09289504250777347
3.2,0.8,0.586579581675847,0.6336322511195722,0.6336322511195722,0.21519599075599172,0.4265546192352614,-0.09077699440861453
