time_s,target,measurement,control,applied_control,error,integral,derivative
0.0,1.0,0.07272727272727272,2.0,2.0,1.0,0.0,50.0
0.02,1.0,0.10797752066115701,1.0421090909090907,1.0421090909090907,0.9272727272727272,0.018545454545454546,-3.6363636363636376
0.04,1.0,0.1473562000060105,1.1908912026446279,1.1908912026446279,0.8920224793388429,0.0363859041322314,-1.7625123966942158
0.06,1.0,0.18290045918297032,1.1248233273724062,1.1248233273724062,0.8526437999939895,0.053438780132111195,-1.9689339672426698
0.08,1.0,0.21638599274357162,1.1037526320995064,1.1037526320995064,0.8170995408170296,0.06978077094845178,-1.7772129588479957
0.1,1.0,0.24765762151495085,1.0763557839565006,1.0763557839565006,0.7836140072564284,0.08545305109358035,-1.6742766780300622
0.12,1.0,0.27692662956172726,1.0525553428013026,1.0525553428013026,0.7523423784850491,0.10049989866328134,-1.5635814385689617
0.14,1.0,0.30431962878788865,1.030234108281165,1.030234108281165,0.7230733704382728,0.1149613660720468,-1.4634504023388173
0.16,1.0,0.32996820735867055,1.0096555394843911,1.0096555394843911,0.6956803712121113,0.128874973496289,-1.3696499613080726
0.18,1.0,0.35399210103971446,0.9906252835873777,0.9906252835873777,0.6700317926413295,0.1422756093491156,-1.2824289285390922
0.2,1.0,0.37650326078001084,0.9730489938978655,0.9730489938978655,0.6460078989602855,0.1551957673283213,-1.201194684052198
0.22,1.0,0.3976057557268715,0.9568218718186788,0.9568218718186788,0.6234967392199892,0.16766570211272108,-1.1255579870148191
0.24,1.0,0.41739644683767385,0.9418497612739364,0.9418497612739364,0.6023942442731285,0.17971358699818366,-1.0551247473430336
0.26,1.0,0.4359654633395265,0.9280444006386217,0.9280444006386217,0.5826035531623261,0.1913656580614302,-0.9895345555401169
0.28,1.0,0.45339667563689495,0.915323801517159,0.915323801517159,0.5640345366604735,0.20264634879463966,-0.9284508250926304
0.3,1.0,0.46976812951494734,0.9036116572833361,0.9036116572833361,0.546603324363105,0.21357841528190177,-0.8715606148684274
0.32,1.0,0.48515245129588014,0.8928369784905992,0.8928369784905992,0.5302318704850526,0.22418305269160282,-0.8185726939026194
0.34,1.0,0.49961722459726865,0.8829337170840642,0.8829337170840642,0.5148475487041199,0.23448000366568522,-0.7692160890466371
0.36,1.0,0.5132253409368642,0.8738404239361464,0.8738404239361464,0.5003827754027314,0.24448765917373985,-0.7232386650694256
0.38,1.0,0.5260353259493684,0.8654999287807279,0.8654999287807279,0.4867746590631358,0.2542231523550026,-0.6804058169797789
0.4,1.0,0.5381016429214728,0.8578590426822387,0.8578590426822387,0.4739646740506316,0.2637024458360152,-0.6404992506252094
0.42,1.0,0.5494749752203042,0.8508682811393375,0.8508682811393375,0.4618983570785272,0.27294041297758576,-0.6033158486052181
0.44,1.0,0.5602024890833451,0.8444816064539303,0.8444816064539303,0.4505250247796958,0.2819509134731797,-0.5686666149415709
0.46,1.0,0.5703280781353322,0.8386561880129879,0.8386561880129879,0.43979751091665487,0.29074686369151276,-0.5363756931520469
0.48,1.0,0.5798925909027787,0.8333521792401116,0.8333521792401116,0.42967192186466785,0.29934030212880613,-0.5062794525993508
0.5,1.0,0.588934042508394,0.8285325100571999,0.8285325100571999,0.42010740909722133,0.30774245031075054,-0.478225638372326
0.52,1.0,0.5974878116454633,0.8241626937777985,0.8241626937777985,0.411065957491606,0.31596376946058263,-0.4520725802807657
0.54,1.0,0.605586823855759,0.8202106474285974,0.8202106474285974,0.4025121883545367,0.32401401322767337,-0.42768845685346446
0.56,1.0,0.6132617220633797,0.8166465245653293,0.8166465245653293,0.394413176144241,0.33190227675055817,-0.4049506105147871
