kp,ki,kd,mae,rmse,max_abs_error,final_error
2.0,0.8,0.0,0.14362687689834142,0.19571106839241117,1.0,0.03400512858717353
2.0,0.8,0.08,0.1441863104367933,0.19976332140655564,1.0,0.033025395919969114
2.0,0.8,0.16,0.1447475756488595,0.2037740338275145,1.0,0.03202975110883066
1.6,0.8,0.0,0.14634922213763088,0.20808176034576986,1.0,0.02619116947318556
1.6,0.8,0.08,0.14914471817030836,0.2138793888726722,1.0,0.025717182594076182
1.6,0.8,0.16,0.14966603168416232,0.21821810931268457,1.0,0.02462778726315873
1.2,0.8,0.0,0.15077979721780424,0.22617499712042016,1.0,0.017685890672515914
1.2,0.8,0.08,0.15357780345399275,0.23157327918023668,1.0,0.017042057390521226
1.2,0.8,0.16,0.15403095965926586,0.2363256964682979,1.0,0.01586620037800568
2.0,0.4,0.0,0.21465393342047662,0.243104141984857,1.0,0.1097806404615147
2.0,0.4,0.08,0.2158802723937037,0.2465818370691126,1.0,0.10885850380139372
0.8,0.8,0.0,0.1542155428542356,0.2498577227578535,1.0,0.00861116492702807
2.0,0.4,0.16,0.21711454798670002,0.25004367175585557,1.0,0.10792382279315571
0.8,0.8,0.08,0.15697591162009636,0.2548162419038392,1.0,0.00779030294173233
0.8,0.8,0.16,0.15730841759860015,0.260111794275725,1.0,0.006604396588253958
1.6,0.4,0.0,0.22965065831984077,0.2628888093633008,1.0,0.10551017517366812
1.6,0.4,0.08,0.2325975867913996,0.267545196429807,1.0,0.10549791842591871
1.6,0.4,0.16,0.2338962315588935,0.271223389311391,1.0,0.10439550759802207
1.2,0.4,0.0,0.2483713474209901,0.28910080779538583,1.0,0.09793400875828895
1.2,0.4,0.08,0.2514428729278769,0.2934031155994913,1.0,0.09781756326929969
1.2,0.4,0.16,0.2528190252016866,0.2973537926209848,1.0,0.09647303896206172
0.8,0.4,0.0,0.2713766630129284,0.3232856917554055,1.0,0.11116260624274565
0.8,0.4,0.08,0.27474168471104754,0.32724186388775195,1.0,0.11121582490020965
0.8,0.4,0.16,0.2765719877732651,0.3316506581885826,1.0,0.11126424321776895
2.0,0.0,0.0,0.34861111111111126,0.3559251217709876,1.0,0.3333333333333338
2.0,0.0,0.08,0.35083333333333344,0.3589324052531408,1.0,0.3333333333333338
2.0,0.0,0.16,0.35305555555555557,0.3619373297587946,1.0,0.33333333333333404
1.6,0.0,0.0,0.40088757396449703,0.4070642709409701,1.0,0.38461538461538514
1.6,0.0,0.08,0.40286982248520703,0.4094741956098092,1.0,0.3846153846153857
1.6,0.0,0.16,0.4052366863905304,0.4125155901029917,1.0,0.38461538461545186
1.2,0.0,0.0,0.47159090909090906,0.4763925867330587,1.0,0.4545454545454565
1.2,0.0,0.08,0.4731611570247869,0.4780583924364761,1.0,0.4545454545456479
1.2,0.0,0.16,0.47564049586753143,0.48107122855327605,1.0,0.4545454545516251
0.8,0.0,0.0,0.5725308641975013,0.575676431742815,1.0,0.5555555555563824
0.8,0.0,0.08,0.5733333333320577,0.5763038228414734,1.0,0.5555555555862288
0.8,0.0,0.16,0.575802469112127,0.5791267610524076,1.0,0.5555555560551256
