time_s,speed_mps,accel_mps2,steering_deg,yaw_rate_dps,front_distance_m,battery_v,motor_temp_c,status
0.0,7.964,0.653,-0.078,0.096,11.974,12.578,28.05,OK
0.1,8.0,0.649,0.259,0.066,12.261,12.608,28.072,OK
0.2,7.949,0.584,0.528,0.26,12.064,12.595,28.19,OK
0.3,7.836,0.638,0.876,0.236,12.036,12.601,28.202,OK
0.4,8.461,0.572,1.108,-0.094,11.587,12.585,28.082,OK
0.5,8.551,0.711,0.034,0.131,11.938,12.591,28.229,OK
0.6,8.426,0.719,1.51,0.234,12.295,12.598,28.232,OK
0.7,8.283,0.611,1.589,0.153,12.659,12.577,28.214,OK
0.8,8.719,0.757,1.769,0.338,12.503,12.587,28.218,OK
0.9,8.458,0.713,0.579,0.074,12.293,12.582,28.592,OK
1.0,8.8,0.816,2.197,0.172,12.155,12.573,28.676,OK
1.1,8.575,0.617,2.461,0.187,12.232,12.556,28.421,OK
1.2,8.637,0.647,2.944,0.35,12.366,12.585,28.794,OK
1.3,9.063,0.627,1.571,0.324,12.412,12.599,28.675,OK
1.4,9.388,0.567,3.564,0.445,12.254,12.562,28.703,OK
1.5,9.315,0.65,3.1,0.016,12.52,12.586,28.688,OK
1.6,8.86,0.574,3.992,0.321,12.311,12.596,28.747,OK
1.7,8.983,0.57,2.082,0.283,12.173,12.588,28.857,OK
1.8,9.7,0.573,4.071,0.293,12.407,12.578,29.159,OK
1.9,8.763,0.617,3.692,0.673,12.589,12.572,28.857,OK
2.0,8.925,0.54,3.305,0.7,12.339,12.575,28.738,OK
2.1,9.19,0.531,4.176,0.718,12.465,12.552,29.078,OK
2.2,9.468,0.535,3.267,0.562,12.502,12.577,29.234,OK
2.3,9.54,0.503,5.42,0.687,12.436,12.567,29.298,OK
2.4,9.464,0.506,4.904,0.512,12.158,12.568,29.14,OK
2.5,9.328,0.518,4.645,0.408,12.613,12.56,28.912,OK
2.6,9.638,0.428,3.848,0.54,12.613,12.552,29.221,OK
2.7,9.82,0.357,4.784,0.574,12.972,12.532,29.29,OK
2.8,9.531,0.389,5.994,0.718,12.968,12.551,29.261,OK
2.9,9.523,0.323,4.85,0.54,12.561,12.525,29.53,OK
3.0,9.641,0.5,4.242,0.553,13.151,12.542,29.024,OK
3.1,9.581,0.379,5.571,0.862,12.464,12.529,29.2,OK
3.2,10.061,0.359,3.852,0.457,12.789,12.584,29.364,OK
3.3,9.86,0.203,4.765,0.579,12.603,12.559,29.221,OK
3.4,9.524,0.22,4.676,0.658,12.031,12.544,29.371,OK
3.5,10.219,0.268,6.314,0.698,12.334,12.537,29.541,OK
3.6,10.113,0.281,8.07,0.964,12.594,12.551,29.286,OK
3.7,10.466,0.341,4.882,0.526,12.541,12.556,29.122,OK
3.8,9.344,0.047,5.931,0.696,12.507,12.531,29.143,OK
3.9,9.421,0.205,6.356,0.912,12.578,12.539,29.531,OK
4.0,9.91,0.104,5.847,0.614,11.966,12.542,29.365,OK
4.1,9.868,0.078,6.582,1.047,12.385,12.531,29.236,OK
4.2,9.953,0.012,6.341,0.77,12.722,12.551,29.476,OK
4.3,9.803,0.145,5.736,0.735,12.41,12.524,29.614,OK
4.4,10.131,-0.083,7.021,0.781,12.299,12.541,29.365,OK
4.5,9.485,-0.046,7.273,1.068,12.649,12.56,28.989,OK
4.6,10.191,-0.128,7.956,0.993,12.009,12.561,29.383,OK
4.7,9.527,0.026,6.405,0.785,12.11,12.55,29.061,OK
4.8,10.078,0.126,6.426,0.803,12.208,12.518,29.358,OK
4.9,10.02,-0.117,8.322,1.117,12.097,12.517,29.128,OK
5.0,10.299,-0.076,7.491,0.871,12.214,12.523,29.343,OK
5.1,9.938,-0.02,7.717,0.909,11.878,12.509,29.1,OK
5.2,9.728,-0.039,7.288,1.11,12.464,12.522,28.96,OK
5.3,9.866,-0.136,6.348,0.724,12.021,12.514,29.057,OK
5.4,9.758,-0.009,7.345,0.757,11.843,12.533,29.049,OK
5.5,10.052,-0.115,8.043,1.175,11.76,12.534,29.011,OK
5.6,9.814,-0.099,8.153,0.979,11.583,12.524,29.013,OK
5.7,9.662,-0.267,7.805,0.618,11.843,12.517,28.997,OK
5.8,10.129,-0.188,7.26,0.771,11.858,12.49,29.012,OK
5.9,9.688,-0.251,7.88,0.951,11.892,12.515,28.99,OK
6.0,9.516,-0.22,8.145,1.195,11.461,12.51,29.004,OK
6.1,9.768,-0.297,6.615,0.918,11.685,12.525,29.326,OK
6.2,9.679,-0.32,7.858,1.234,11.151,12.514,28.743,OK
6.3,9.081,-0.498,6.916,0.99,11.265,12.502,28.764,OK
6.4,9.845,-0.444,8.834,0.911,11.226,12.506,28.917,OK
6.5,10.011,-0.365,7.091,0.767,11.204,12.513,28.946,OK
6.6,9.587,-0.323,7.587,0.89,11.293,12.524,28.849,OK
6.7,9.489,-0.494,8.453,0.926,11.263,12.471,28.996,OK
6.8,9.202,-0.49,8.727,0.847,11.115,12.499,28.666,OK
6.9,9.827,-0.324,6.614,0.576,11.229,12.477,28.734,OK
7.0,9.479,-0.405,7.843,0.955,10.847,12.514,28.695,OK
7.1,9.484,-0.517,8.074,0.944,10.904,12.478,28.867,OK
7.2,9.704,-0.472,8.509,1.147,11.056,12.497,28.758,OK
7.3,9.517,-0.501,7.308,0.88,10.426,12.49,28.768,OK
7.4,9.559,-0.508,8.628,1.035,10.532,12.468,28.541,OK
7.5,8.855,-0.483,7.818,1.024,10.684,12.503,28.827,OK
7.6,8.982,-0.569,7.571,0.665,10.737,12.504,28.65,OK
7.7,8.964,-0.472,6.28,0.78,10.563,12.476,28.843,OK
7.8,9.274,-0.592,7.834,0.882,10.363,12.463,28.827,OK
7.9,9.23,-0.519,7.098,1.164,10.794,12.484,28.471,OK
