feature,coefficient,absolute_coefficient
cat__recipe_ETCH-B,-0.765428126560078,0.765428126560078
num__etch_rate_nm_min,-0.7138822936876502,0.7138822936876502
num__chamber_temp_c,0.616765057985636,0.616765057985636
cat__recipe_ETCH-C,0.5484687579940539,0.5484687579940539
cat__chamber_id_CH-01,0.34415017668391684,0.34415017668391684
cat__chamber_id_CH-02,-0.24459969175245652,0.24459969175245652
num__rf_power_w,-0.22460724312399563,0.22460724312399563
cat__recipe_ETCH-A,0.2175285911378654,0.2175285911378654
num__particle_count,-0.13707509756407696,0.13707509756407696
num__uniformity_percent,-0.11681867821768045,0.11681867821768045
cat__chamber_id_CH-03,-0.09898126235961933,0.09898126235961933
num__gas_flow_sccm,-0.09439033510982377,0.09439033510982377
num__vibration_g,0.05331078760298151,0.05331078760298151
num__chamber_pressure_pa,0.012844171569755265,0.012844171569755265
