feature,importance
num__etch_rate_nm_min,0.18953690870410544
num__chamber_temp_c,0.17333545871672104
num__uniformity_percent,0.13822759043704436
num__vibration_g,0.12072375347487517
num__rf_power_w,0.09576945876614529
num__chamber_pressure_pa,0.0802708695499598
num__gas_flow_sccm,0.06946676694077424
num__particle_count,0.05316421098981688
cat__recipe_ETCH-C,0.029667561165896188
cat__chamber_id_CH-01,0.019001192262539275
cat__recipe_ETCH-A,0.010641039114437286
cat__chamber_id_CH-02,0.00840399537449722
cat__chamber_id_CH-03,0.006429143906378808
cat__recipe_ETCH-B,0.005362050596809133
