class_name,rank,feature,coefficient
etch_rate,1,num__etch_rate_nm_min,-2.29710891202262
etch_rate,2,num__particle_count,-0.3948438487638846
etch_rate,3,num__gas_flow_sccm,0.38316342260960506
etch_rate,4,num__uniformity_percent,0.3764144319019157
etch_rate,5,cat__chamber_id_CH-03,-0.33715027345471554
etch_rate,6,num__rf_power_w,0.3249833038978073
etch_rate,7,cat__recipe_ETCH-A,0.32322875013131136
etch_rate,8,cat__recipe_ETCH-C,-0.23151797007291652
normal,1,num__etch_rate_nm_min,0.4343606592064649
normal,2,cat__recipe_ETCH-B,0.14126506564920005
normal,3,num__gas_flow_sccm,-0.13771840033731841
normal,4,num__uniformity_percent,0.13629415150434046
normal,5,cat__chamber_id_CH-03,-0.1328010346633472
normal,6,cat__chamber_id_CH-02,0.11006782340284786
normal,7,cat__recipe_ETCH-A,-0.10335899706259126
normal,8,num__vibration_g,-0.09569251866886412
particle,1,cat__recipe_ETCH-C,-0.803994717615581
particle,2,num__etch_rate_nm_min,0.5767171556662346
particle,3,cat__chamber_id_CH-03,0.5076494859774623
particle,4,cat__recipe_ETCH-B,0.4716934734016234
particle,5,num__chamber_temp_c,-0.45544866141565965
particle,6,num__particle_count,0.4135928615895013
particle,7,cat__recipe_ETCH-A,0.33340622103665546
particle,8,num__rf_power_w,-0.3272955026884355
uniformity,1,cat__recipe_ETCH-C,1.124531506565473
uniformity,2,cat__recipe_ETCH-B,-0.998339816067297
uniformity,3,num__uniformity_percent,-0.916867167698916
uniformity,4,num__chamber_temp_c,0.2839727287320986
uniformity,5,num__etch_rate_nm_min,0.24376075104442177
uniformity,6,cat__chamber_id_CH-03,-0.13014718844243828
uniformity,7,cat__recipe_ETCH-A,-0.12615977522267616
uniformity,8,num__rf_power_w,0.11043143786778166
