feature,importance
num__etch_rate_nm_min,0.3222957892690699
num__uniformity_percent,0.1644276886573818
num__chamber_temp_c,0.08806008839016076
num__vibration_g,0.06870456329471666
num__chamber_pressure_pa,0.06863458946073629
num__particle_count,0.06562628073161328
num__rf_power_w,0.06323835294560474
num__gas_flow_sccm,0.0599501299487087
cat__recipe_ETCH-C,0.03874781783978797
cat__recipe_ETCH-B,0.015027446871252475
cat__chamber_id_CH-03,0.011806028119404444
cat__chamber_id_CH-01,0.011444805034391048
cat__chamber_id_CH-02,0.011144580894200024
cat__recipe_ETCH-A,0.01089183854297203
