feature,coefficient,absolute_coefficient
cat__recipe_ETCH-C,-0.710648491314768,0.710648491314768
num__particle_mean,-0.6385062728614956,0.6385062728614956
cat__recipe_ETCH-A,0.5870638139680251,0.5870638139680251
cat__chamber_id_CH-03,-0.5301695611843139,0.5301695611843139
cat__chamber_id_CH-01,0.48282995848998533,0.48282995848998533
num__maintenance_age_hours,-0.34768066456698005,0.34768066456698005
num__downtime_min,-0.2982145643888046,0.2982145643888046
num__temp_std_c,-0.2121709783699013,0.2121709783699013
num__pressure_std_pa,-0.13699609380598382,0.13699609380598382
cat__recipe_ETCH-B,0.1235846773467425,0.1235846773467425
cat__chamber_id_CH-02,0.04733960269432869,0.04733960269432869
num__vibration_rms_g,-0.03561928634058435,0.03561928634058435
num__pressure_mean_pa,-0.025912008274172102,0.025912008274172102
num__temp_mean_c,-0.023625535529318502,0.023625535529318502
num__rf_power_mean_w,-0.01359823673301149,0.01359823673301149
