lot_id,recipe,chamber_id,wafer_count,defect_count,defect_rate,temp_abs_deviation,pressure_abs_deviation,particle_mean
LOT-D001,ETCH-B,CH-02,100,6,0.06,0.8680816688391402,0.3313046969743846,4.807370177121323
LOT-D002,ETCH-C,CH-02,103,5,0.04854368932038835,0.25063979908187367,0.027359267911963747,6.191704402783682
LOT-D003,ETCH-B,CH-03,85,4,0.047058823529411764,0.7617808104710647,0.20082059164263066,3.3003533660125304
LOT-D004,ETCH-A,CH-03,88,4,0.045454545454545456,0.036313251144968306,0.36820185476633466,6.438293904515557
LOT-D005,ETCH-B,CH-01,121,4,0.03305785123966942,0.8617600370928409,0.3638960307835931,4.777740690919436
LOT-D006,ETCH-A,CH-03,127,6,0.047244094488188976,1.1119051202910568,0.0856365222647146,6.0760258649116174
LOT-D007,ETCH-A,CH-03,120,5,0.041666666666666664,0.16343401404140495,0.5634663913467777,4.878729791450458
LOT-D008,ETCH-B,CH-01,107,5,0.04672897196261682,1.0857831442591945,0.29691262978597766,3.5685600932664867
LOT-D009,ETCH-A,CH-01,121,6,0.049586776859504134,1.0143231055331356,0.3272391159306227,6.726938154685074
LOT-D010,ETCH-C,CH-03,110,6,0.05454545454545454,0.23065981848797057,0.2906726069465288,2.6686972167718177
LOT-D011,ETCH-A,CH-02,103,4,0.038834951456310676,1.0164277758990088,0.42516717670084847,3.763006711049913
LOT-D012,ETCH-A,CH-03,82,3,0.036585365853658534,0.6242366631406425,0.4737948047261801,5.862044468979225
LOT-D013,ETCH-B,CH-01,119,6,0.05042016806722689,0.7922384634509464,0.17007795374644138,5.221785462319799
LOT-D014,ETCH-A,CH-03,124,4,0.03225806451612903,0.6052272154680272,0.3337190205683512,4.671277822768731
LOT-D015,ETCH-C,CH-01,82,5,0.06097560975609756,1.0987027944368595,0.4767550368079907,5.185628182856926
LOT-D016,ETCH-C,CH-03,126,7,0.05555555555555555,0.1845053033590502,0.3114396470069304,5.27054579997792
LOT-D017,ETCH-B,CH-01,105,2,0.01904761904761905,1.2676625188389827,0.16244154176884062,4.751520767992093
LOT-D018,ETCH-B,CH-02,107,1,0.009345794392523364,0.6587110400927465,0.12353383636258425,3.959319662367166
LOT-D019,ETCH-A,CH-03,87,5,0.05747126436781609,0.40959056603183985,0.10660248964720279,5.7910431786234025
LOT-D020,ETCH-B,CH-02,111,6,0.05405405405405406,0.3344066926699146,0.24230935983211632,3.872714237663592
LOT-D021,ETCH-A,CH-03,126,1,0.007936507936507936,0.603876361548437,0.4905104519674709,3.998699755204777
LOT-D022,ETCH-B,CH-03,90,5,0.05555555555555555,0.33685775978591637,0.11712163883681562,3.037403861386937
LOT-D023,ETCH-A,CH-01,129,5,0.03875968992248062,0.3321429967610035,0.041122818854157445,2.9000812861901526
LOT-D024,ETCH-A,CH-02,109,1,0.009174311926605505,0.7890722020664069,0.16875565256412672,1.4760735156348836
LOT-D025,ETCH-B,CH-01,121,3,0.024793388429752067,0.32819171300280076,0.018585459055686704,3.340454924893138
LOT-D026,ETCH-C,CH-02,91,4,0.04395604395604396,0.5872963969842435,0.3114263861864551,2.0592643098696333
LOT-D027,ETCH-A,CH-02,81,3,0.037037037037037035,0.6032159149260848,0.23484885030998004,5.261021271767868
LOT-D028,ETCH-A,CH-03,91,2,0.02197802197802198,0.0016873954523620727,0.48753330394312044,3.1028911515662783
LOT-D029,ETCH-B,CH-03,101,6,0.0594059405940594,0.8078497684450602,0.49144985109448636,5.524611700672399
LOT-D030,ETCH-B,CH-02,113,2,0.017699115044247787,0.7327376958118256,0.08689068451105456,4.64681333863987
LOT-D031,ETCH-A,CH-01,98,3,0.030612244897959183,0.03997447821377653,0.2811396574583893,4.606978515964647
LOT-D032,ETCH-B,CH-01,125,1,0.008,0.4272676008271567,0.12680947981148344,2.0553842870329593
LOT-D033,ETCH-A,CH-01,120,3,0.025,0.7833112040923416,0.1286410838852874,3.0157221866646813
LOT-D034,ETCH-A,CH-01,129,3,0.023255813953488372,0.5388147338517948,0.13673140730329972,2.896043681758277
LOT-D035,ETCH-B,CH-03,116,4,0.034482758620689655,0.8779568115957352,0.38146117781343014,4.30180465615459
LOT-D036,ETCH-B,CH-01,83,6,0.07228915662650602,0.6295823232643836,0.08601836828209014,3.5887470482526314
LOT-D037,ETCH-B,CH-01,91,2,0.02197802197802198,0.6277922560927073,0.1411380567069459,3.610880167937048
LOT-D038,ETCH-A,CH-01,104,5,0.04807692307692308,0.7714893510358569,0.3335238969079258,4.2984555820089545
LOT-D039,ETCH-B,CH-02,109,4,0.03669724770642202,0.0882308955399973,0.2752681591386059,2.1090329396604215
LOT-D040,ETCH-A,CH-03,88,3,0.03409090909090909,0.27562136543154137,0.41091484256024213,4.387879740174515
LOT-D041,ETCH-A,CH-03,101,7,0.06930693069306931,0.46753056303948004,0.4029673676689759,3.2873163259605245
LOT-D042,ETCH-A,CH-01,120,2,0.016666666666666666,0.6971140214083406,0.1577191292409601,2.0249370123676216
LOT-D043,ETCH-A,CH-02,93,3,0.03225806451612903,0.6197073300966175,0.0017981782303339577,5.9277993410765575
LOT-D044,ETCH-B,CH-01,109,2,0.01834862385321101,0.7322484051081963,0.3478327715243603,4.620341620926238
LOT-D045,ETCH-A,CH-02,87,5,0.05747126436781609,0.36761482826500824,0.512509158431367,7.521554977589
LOT-D046,ETCH-A,CH-01,95,1,0.010526315789473684,0.1784262176958309,0.3503636054303771,7.345202743055846
LOT-D047,ETCH-C,CH-02,127,4,0.031496062992125984,1.1083811387672844,0.3774180750654705,2.598098000913632
LOT-D048,ETCH-C,CH-03,93,4,0.043010752688172046,0.9483758082139896,0.07720370823920614,6.723019565773285
LOT-D049,ETCH-B,CH-02,110,7,0.06363636363636363,0.6459225217819589,0.24459685105184822,1.8711080730489549
LOT-D050,ETCH-A,CH-01,84,1,0.011904761904761904,1.1028715339939315,0.15416770107462385,2.394256313255555
LOT-D051,ETCH-A,CH-01,126,2,0.015873015873015872,0.34755051807309745,0.29120624623884356,2.397043684688503
LOT-D052,ETCH-B,CH-03,99,6,0.06060606060606061,0.9416726622602782,0.14213304491219247,7.261456722938931
LOT-D053,ETCH-A,CH-03,126,3,0.023809523809523808,0.6739745604918755,0.29356848339793845,6.646628209578379
LOT-D054,ETCH-A,CH-03,124,3,0.024193548387096774,0.6221069130615074,0.1808728633141372,3.132220734853254
LOT-D055,ETCH-A,CH-02,112,9,0.08035714285714286,0.49781515693840295,0.22396903625449027,4.8454666586876085
LOT-D056,ETCH-B,CH-03,125,3,0.024,0.186882288704471,0.17431790370703065,2.807369574589492
LOT-D057,ETCH-A,CH-03,122,4,0.03278688524590164,0.4999423540842227,0.27082618682137094,5.918153634952059
LOT-D058,ETCH-B,CH-01,98,0,0.0,0.5715779565214998,0.3820320353873844,4.584814253640756
LOT-D059,ETCH-A,CH-02,98,4,0.04081632653061224,0.6647951174397712,0.2557785190068626,7.602861929860823
LOT-D060,ETCH-A,CH-01,99,6,0.06060606060606061,0.13486314055884668,0.30459512050414717,2.9196009868180517
