lot_id,recipe,chamber_id,pressure_level,rf_level,temperature_c,pressure_pa,rf_power_w,uniformity_percent,etch_rate_nm_min,wafer_count,defect_count,defect_rate
EXP-0001,ETCH-A,CH-01,low,low,71.95763512558136,17.31968549462615,833.8297381262735,95.79811722223941,518.1820479701412,110,6,0.05454545454545454
EXP-0002,ETCH-A,CH-01,low,low,71.55082259881955,17.22188741432957,837.3056813426123,95.90957043357943,516.8048890704938,113,5,0.04424778761061947
EXP-0003,ETCH-A,CH-01,low,low,71.85246177492789,17.344028269281,825.2153846289974,95.92764172509841,506.94733215921383,115,5,0.043478260869565216
EXP-0004,ETCH-A,CH-01,low,low,71.66727054475268,17.2296474987964,837.9106174737431,95.9113372011459,517.5924689697315,82,4,0.04878048780487805
EXP-0005,ETCH-A,CH-01,low,low,71.87598134235373,17.22586567165964,837.3129302898723,94.89733391497062,510.3284413931132,88,7,0.07954545454545454
EXP-0006,ETCH-A,CH-01,low,low,71.43870087519609,17.65077311307742,832.9290993048348,95.86379938413562,512.8150325129712,97,5,0.05154639175257732
EXP-0007,ETCH-A,CH-01,low,low,72.14073788935794,17.365484807461318,827.1089194255948,95.41104109887702,520.9189015076162,118,7,0.059322033898305086
EXP-0008,ETCH-A,CH-01,low,low,71.25456003668928,17.51679756942067,817.8625577487031,94.91960828619538,510.56232405590606,82,5,0.06097560975609756
EXP-0009,ETCH-A,CH-01,low,standard,72.12505779664662,17.54062073766802,855.9489682271287,97.14227964790311,522.5559934645777,102,1,0.00980392156862745
EXP-0010,ETCH-A,CH-01,low,standard,72.03116142403798,17.579035843780943,856.2068148965974,97.02004922447105,524.1520099774226,96,2,0.020833333333333332
EXP-0011,ETCH-A,CH-01,low,standard,71.76023386123933,17.497742836985584,854.235801158621,97.93232015890074,523.074674506686,86,1,0.011627906976744186
EXP-0012,ETCH-A,CH-01,low,standard,71.82395473611618,17.645579429127753,846.5481531280959,97.28367581982936,526.9520939428564,82,6,0.07317073170731707
EXP-0013,ETCH-A,CH-01,low,standard,72.49328825054796,17.299803468712426,844.0643614765579,96.72527870569208,525.0019548419294,110,6,0.05454545454545454
EXP-0014,ETCH-A,CH-01,low,standard,72.85842323850726,17.329953233415072,852.5050692266403,96.73315572553503,519.9825148867883,103,4,0.038834951456310676
EXP-0015,ETCH-A,CH-01,low,standard,71.62060150908775,17.39674557298937,847.1809799927411,96.8273644389293,520.2798652290263,105,4,0.0380952380952381
EXP-0016,ETCH-A,CH-01,low,standard,72.53349165211952,17.387127676765477,850.4233173492598,96.0826390884813,522.5757141255453,87,6,0.06896551724137931
EXP-0017,ETCH-A,CH-01,low,high,71.32426818833325,17.462326432266437,875.0553765935491,96.48187165721407,530.1647229445845,99,3,0.030303030303030304
EXP-0018,ETCH-A,CH-01,low,high,71.6616742625819,17.29369731106945,871.7913462046231,95.04842535061215,539.240836637478,100,4,0.04
EXP-0019,ETCH-A,CH-01,low,high,71.37336845656247,17.312006502895212,875.3838681053886,95.89711346039007,525.586911718783,117,6,0.05128205128205128
EXP-0020,ETCH-A,CH-01,low,high,72.30533490899178,17.306808587315246,866.0471513648105,95.35816680579416,537.129972581805,85,3,0.03529411764705882
EXP-0021,ETCH-A,CH-01,low,high,71.9836667961226,17.449141108949163,868.5308810328988,95.01241348819853,534.9784682373001,96,6,0.0625
EXP-0022,ETCH-A,CH-01,low,high,72.37830638153036,17.441502553995534,865.6007472272825,96.5885769087374,541.917776798104,110,7,0.06363636363636363
EXP-0023,ETCH-A,CH-01,low,high,72.76805853025164,17.6257564499365,869.8424454502305,95.92662106469939,539.0820390022413,111,8,0.07207207207207207
EXP-0024,ETCH-A,CH-01,low,high,71.66497384389436,17.44551006713548,869.5630228170352,95.83716489083463,524.7394507068483,103,5,0.04854368932038835
EXP-0025,ETCH-A,CH-01,standard,low,71.27996718627486,18.02491172596671,832.0232617198822,98.65416802844408,513.6869849728781,114,3,0.02631578947368421
EXP-0026,ETCH-A,CH-01,standard,low,71.41661528610989,17.869476885769807,842.5795237089347,96.6543115382742,510.95470279617626,86,4,0.046511627906976744
EXP-0027,ETCH-A,CH-01,standard,low,72.25259346975483,18.04658572859713,836.7686847357916,96.90385172462425,511.32014560586094,92,4,0.043478260869565216
EXP-0028,ETCH-A,CH-01,standard,low,72.491812485417,18.095299478261396,834.3820392604476,97.11066170725668,512.9009731897419,100,3,0.03
EXP-0029,ETCH-A,CH-01,standard,low,70.99194489515374,17.96709976386021,824.7686249726241,96.85346723673908,515.3970322298958,106,6,0.05660377358490566
EXP-0030,ETCH-A,CH-01,standard,low,72.2285212913472,18.089531125239244,831.74674379646,97.2694832659135,515.9948519400299,109,8,0.07339449541284404
EXP-0031,ETCH-A,CH-01,standard,low,71.75185176169633,18.074187678317045,822.6890127934286,97.09264991684155,508.8790986641378,118,2,0.01694915254237288
EXP-0032,ETCH-A,CH-01,standard,low,71.58294175555484,18.128731874048192,831.2929324672484,98.20533618803508,510.97064028179034,98,6,0.061224489795918366
